k,AUC,AUC_std,Sens,Spec,FP_mina
10,0.897479543025773,0.031603350666809145,0.7823408624229979,0.8414041903704732,6.0
20,0.9127999297750161,0.028559971417200267,0.8090349075975359,0.8352296378520883,6.027918781725888
30,0.9272049399447831,0.020225281002993763,0.8069815195071869,0.8586096850284446,5.185750636132315
40,0.9359178358652068,0.01516029007194873,0.8151950718685832,0.8726932149299292,4.6221662468513856
50,0.942202338694267,0.00944230905956882,0.811088295687885,0.8821284861939781,4.30126582278481
60,0.94373599221997,0.00868603657900577,0.8193018480492813,0.8820591091993895,4.260651629072682
70,0.9468204732042788,0.006567183995516405,0.8234086242299795,0.8841404190370473,4.164588528678304
80,0.9474841975522784,0.007800047170728911,0.8213552361396304,0.8827528791452754,4.225
90,0.947817956277447,0.00765477623511124,0.8295687885010267,0.886082974885528,4.064356435643564
100,0.9474417747301819,0.009403539345837821,0.8275154004106776,0.8880255307340086,4.004962779156328
110,0.9468445226644033,0.010625973704743477,0.8295687885010267,0.8871930067989454,4.024752475247524
120,0.9461911545033151,0.011443875834294162,0.8275154004106776,0.8880255307340086,4.004962779156328
130,0.9467791916621827,0.010994772669030487,0.8295687885010267,0.8896905786041349,3.9356435643564356
140,0.9462324760331695,0.010827024573761938,0.8254620123203286,0.8895518246149576,3.9601990049751246
150,0.9456488591214209,0.010885863215831978,0.8316221765913757,0.8880255307340086,3.9851851851851854
160,0.9463549247021553,0.010524328180721444,0.8295687885010267,0.8874705147772999,4.014851485148514
170,0.9454607033143828,0.01033702478055574,0.8254620123203286,0.8887193006798946,3.990049751243781
180,0.9457383344621114,0.010130327500849686,0.8295687885010267,0.8895518246149576,3.9405940594059405
190,0.9447556903234408,0.010002578640320762,0.8336755646817249,0.8887886776744831,3.9482758620689653
200,0.945256475298241,0.010883300148359974,0.8275154004106776,0.8908006105175523,3.905707196029777
210,0.9451732428898048,0.01134525843700945,0.8213552361396304,0.8883724157069516,4.0225
220,0.9449638056896438,0.010620134529331337,0.8275154004106776,0.8898293325933121,3.9404466501240694
230,0.944950599936774,0.011185515350306272,0.8234086242299795,0.8891355626474261,3.9850374064837903
240,0.9447966284664346,0.010212839964356665,0.8254620123203286,0.8882336617177744,4.007462686567164
250,0.9457776718836812,0.009456059833896528,0.8172484599589322,0.8886499236853059,4.032663316582915
260,0.9446106613144157,0.010246602188977995,0.8213552361396304,0.8878867767448314,4.04
270,0.9455121908041973,0.010276509492591039,0.8295687885010267,0.8866379908422367,4.044554455445544
280,0.9448470587779622,0.010870263327622719,0.8193018480492813,0.8864992368530595,4.1002506265664165
290,0.9453957191131325,0.01008392279262021,0.8213552361396304,0.8884417927015402,4.02
300,0.9442438935926551,0.010565236460688873,0.8193018480492813,0.8887193006798946,4.020050125313284
310,0.9445016447171128,0.01102675357628983,0.8275154004106776,0.8864992368530595,4.05955334987593
320,0.9439988263691327,0.011745498033942321,0.8254620123203286,0.8865686138476481,4.067164179104478
330,0.9449401019131489,0.011283548272601276,0.8234086242299795,0.8882336617177744,4.017456359102244
340,0.9448964760226737,0.010633349481700558,0.8295687885010267,0.8877480227556542,4.0049504950495045
350,0.9446013004842286,0.010877982065430728,0.8172484599589322,0.8878173997502429,4.062814070351759
360,0.9446809247129839,0.01137048803907947,0.8213552361396304,0.8869848758151797,4.0725
370,0.9451775771371927,0.010276096098898917,0.8254620123203286,0.8870542528097682,4.0497512437810945
378,0.9450118481575601,0.011072480962486982,0.8193018480492813,0.8874705147772999,4.065162907268171
