escenario,total,objetos,fondo,Botella,Lata,Piedra,pct_objetos,pct_fondo
final_sin_cuota,1363,93,1270,57,17,19,6.823184152604549,93.17681584739545
con_cuota,1547,97,1450,64,12,21,6.270200387847447,93.72979961215255
